Chunk,Accuracy,F1_score,Train Time (s),Memory Before (GB),Memory After (GB),CPU Before (%),CPU After (%),CPU Usage (%)
4,0.72827,0.727227203537815,136.39994883537292,5.658100128173828,6.4917449951171875,19.9,15.1,-4.799999999999999
1,0.73034,0.7293774145152607,126.7740867137909,6.630092620849609,6.883792877197266,18.7,14.3,-4.399999999999999
2,0.73068,0.729638044923776,133.88659286499023,6.583290100097656,6.554691314697266,22.7,10.5,-12.2
3,0.72827,0.727227203537815,137.92954421043396,6.630611419677734,6.773963928222656,19.8,11.9,-7.9
1,0.73034,0.7293774145152607,155.2637584209442,6.421142578125,6.787944793701172,18.5,51.6,33.1
2,0.73068,0.729638044923776,148.7189211845398,6.070377349853516,6.396141052246094,38.2,11.5,-26.700000000000003
1,0.73034,0.7293774145152607,139.63425993919373,6.725437164306641,6.454490661621094,44.2,25.9,-18.300000000000004
1,0.73034,0.7293774145152607,141.095153093338,6.238822937011719,6.590736389160156,16.7,17.4,0.6999999999999993
2,0.73068,0.729638044923776,141.6189193725586,6.468235015869141,6.596717834472656,25.1,41.6,16.5
3,0.72827,0.727227203537815,135.2241084575653,6.045509338378906,6.495979309082031,15.8,17.2,1.3999999999999986
