Feature,Importance
Elevation,0.09417830407619476
Wilderness_Area1,0.06083483621478081
Soil_Type22,0.05743618682026863
Soil_Type2,0.04536892473697662
Soil_Type32,0.04147071018815041
Soil_Type4,0.04108268022537231
Soil_Type38,0.04074473306536674
Soil_Type12,0.04034743830561638
Soil_Type39,0.0358905978500843
Wilderness_Area3,0.03546668961644173
Soil_Type29,0.02875019051134586
Soil_Type23,0.02814175747334957
Wilderness_Area2,0.02676505967974663
Soil_Type31,0.02344604767858982
Wilderness_Area4,0.02343693748116493
Soil_Type30,0.02172652818262577
Soil_Type3,0.01796299964189529
Soil_Type21,0.01785856112837791
Soil_Type35,0.01713018305599689
Soil_Type33,0.01708623394370079
Soil_Type27,0.01612014509737492
Soil_Type20,0.01458110474050045
Soil_Type24,0.01410413254052401
Horizontal_Distance_To_Hydrology,0.0137264234945178
Soil_Type40,0.01353206485509872
Horizontal_Distance_To_Roadways,0.01320120692253113
Soil_Type10,0.013091248460114
Horizontal_Distance_To_Fire_Points,0.01240630075335503
Soil_Type8,0.01221597660332918
Soil_Type11,0.01182402763515711
Hillshade_Noon,0.0115797808393836
Soil_Type13,0.01136293262243271
Soil_Type37,0.01036676857620478
Soil_Type25,0.009528539143502712
Soil_Type17,0.00928729772567749
Hillshade_9am,0.008756577968597412
Soil_Type26,0.007741163019090891
Soil_Type9,0.007408678531646729
Vertical_Distance_To_Hydrology,0.007248904556035995
Aspect,0.006757862865924835
Soil_Type16,0.006590675562620163
Soil_Type18,0.00604759668931365
Soil_Type6,0.005954373627901077
Soil_Type5,0.005927993450313807
Soil_Type19,0.005444706417620182
Soil_Type34,0.004971275571733713
Hillshade_3pm,0.004883581306785345
Slope,0.004644274711608887
Soil_Type1,0.004276469815522432
Soil_Type36,0.003796792589128017
Soil_Type28,0.002697335556149483
Soil_Type14,0.002491421531885862
Soil_Type7,0.00154613726772368
Soil_Type15,0.0007607190636917949
