Feature,Importance
Elevation,0.09630884975194931
Soil_Type22,0.05772792920470238
Wilderness_Area1,0.05545523017644882
Soil_Type32,0.05287148430943489
Soil_Type2,0.04392849281430244
Soil_Type4,0.04366153851151466
Soil_Type12,0.03845413029193878
Wilderness_Area3,0.03841294348239899
Soil_Type39,0.03536068275570869
Soil_Type38,0.03146734833717346
Soil_Type23,0.02893434651196003
Wilderness_Area2,0.02803409099578857
Soil_Type3,0.02627505548298359
Wilderness_Area4,0.02385986223816872
Soil_Type29,0.02349689975380898
Soil_Type31,0.02309094183146954
Soil_Type30,0.01997011341154575
Soil_Type27,0.01901115663349628
Soil_Type33,0.0177608747035265
Soil_Type21,0.01580378785729408
Soil_Type24,0.01541220955550671
Soil_Type25,0.0150887556374073
Soil_Type10,0.01496176235377789
Soil_Type20,0.01465061213821173
Horizontal_Distance_To_Hydrology,0.0144341504201293
Soil_Type35,0.01442379970103502
Horizontal_Distance_To_Roadways,0.01345421187579632
Horizontal_Distance_To_Fire_Points,0.01222127117216587
Hillshade_Noon,0.01193723734468222
Soil_Type13,0.0109838442876935
Soil_Type11,0.01086570415645838
Soil_Type40,0.01044859178364277
Soil_Type17,0.00921171810477972
Hillshade_9am,0.008990354835987091
Soil_Type9,0.008585325442254543
Soil_Type37,0.00807518232613802
Vertical_Distance_To_Hydrology,0.007669155485928059
Aspect,0.00714816665276885
Soil_Type26,0.007070338819175959
Soil_Type16,0.007022339850664139
Soil_Type8,0.006626005750149488
Soil_Type19,0.006264033727347851
Soil_Type5,0.005845728795975447
Hillshade_3pm,0.005548130720853806
Soil_Type34,0.005394984036684036
Soil_Type18,0.005066045559942722
Soil_Type6,0.00487927533686161
Slope,0.004623265471309423
Soil_Type28,0.003760236781090498
Soil_Type1,0.003319997806102037
Soil_Type14,0.002708018757402897
Soil_Type36,0.002087516477331519
Soil_Type7,0.001336244051344693
Soil_Type15,0.0
